04 AK 1 (4684,3459) 58x94
06 AV 4 (241,2247) 85x105
06 AV 4 (4444,1255) 85x105
06 AV 4-122A (7095,5734) 370x119
06 AV 5 (3453,4512) 85x106
06 AV 6 (3453,3753) 85x106
06 AV 6-152 (6674,5262) 917x122
06 AV 7 (3538,2996) 81x104
06 AV 8 (3957,3164) 86x104
06 AV 9 (5311,3395) 84x103
06 AV 10 (5462,3545) 120x106
06 AV 11 (4535,2825) 111x104
06 AV 12 (5209,2488) 119x103
06 AV 13 (4535,2403) 121x106
06 AV 14 (4199,2698) 119x105
06 AV 15 (3441,2235) 121x106
06 AV 16 (3188,2825) 121x106
06 AV 17 (3104,2590) 118x107
06 AV 18 (3096,1737) 121x107
06 AV 19 (4106,1728) 120x107
06 AV 20 (5366,1478) 131x104
06 AV 21 (3598,1055) 122x104
06 AV 22 (2167,550) 131x103
06 AV 23 (1697,1195) 131x104
06 AV 24 (2417,1753) 129x107
06 AV 24 (1398,891) 129x105
06 AV 25 (2067,1359) 132x107
06 AV 26 (2780,1814) 132x105
06 AV 27 (2588,2237) 129x105
06 AV 28 (2740,2633) 130x104
06 AV 29 (2504,2827) 131x103
06 AV 30 (2766,3162) 132x104
06 AV 31 (903,4596) 123x106
06 AV 31 (1882,3055) 123x106
06 AV 32 (2587,3418) 131x104
06 AV 33 (2610,3830) 133x104
06 AV 34 (2334,3751) 131x108
06 AV 35 (1998,4343) 132x106
06 AV 35A (1884,4848) 191x106
06 AV 36 (2082,5440) 133x105
06 AV 36 (2082,5145) 133x105
06 AV 37 (1240,5525) 130x105
06 AV 37 (1619,5399) 130x105
06 AV 37 (2545,5104) 130x105
06 AV 37 (624,4956) 130x107
06 AV 37 (1240,4598) 130x105
06 AV 37 (4523,4091) 130x105
06 AV 37 (945,3544) 130x105
06 AV 37 (1408,2068) 130x105
06 AV 37 (2924,1478) 130x105
06 AV 38 (903,5609) 133x104
06 AV 38 (903,4261) 133x104
06 AV 39 (1408,4934) 132x106
06 AV 40 (143,6028) 134x107
06 AV 41 (1154,4088) 125x105
06 AV 42 (1336,3007) 104x75
06 AV 43 (817,2276) 135x107
06 AV 44 (630,1725) 133x106
06 AV 45 (525,1408) 82x68
06 AV 46 (1027,566) 91x67
06 AV 47 (522,3920) 76x57
06 AV AV-10 (5967,3409) 330x121
06 AV AV-12 (5967,3577) 329x121
06 AV AV-14 (5967,4082) 330x122
06 AV AV-14 (5967,3914) 330x122
06 AV AV-14 (5967,3744) 330x124
06 AV AV-15 (5967,4252) 331x121
06 AV AV-16 (5967,4420) 331x121
06 AV AV-17 (5967,4590) 328x123
06 AV AV-18 (5967,4758) 331x121
06 AV AV-19 (5967,4926) 330x123
06 AV AV-20 (5967,5096) 330x120
06 AV AV-27 (5967,5264) 328x122
06 AV AV-29 (5972,5416) 330x122
06 AV AV-34 (5967,5566) 330x122
06 AV AV-39 (5967,5735) 330x124
06 AV AV-44 (5967,5904) 330x122
06 AV AV-45 (5967,6072) 331x122
06 AV AV-46 (5967,6241) 331x122
06 AV SL1-1 (7277,3885) 215x173
06 AV SL4-37 (6674,4419) 856x124
06 AV SL11-18 (7296,5095) 297x121
06 AV SL14-1 (7296,5566) 228x120
06 AV SL15-9 (7296,5905) 236x122
06 AV SL15-10 (7296,6073) 296x121
06 AV SL15-21 (7296,6242) 288x121
06 AV UP (6839,4250) 160x128
06 AV UP-1 (3777,2220) 512x132
06 AV ring (6676,5415) 1214x141
07 UP 1 (3706,1686) 205x111
07 UP 1 (5535,1575) 170x105
07 UP 2 (4180,1989) 225x128
07 UP 3 (4158,2363) 216x115
07 UP 3 (4120,4858) 216x114
07 UP 3-1 (2739,6595) 630x115
07 UP 3A (4215,2741) 252x116
07 UP 3A (3952,5993) 250x112
07 UP 4 (2837,3156) 215x116
07 UP 4 (2951,6218) 212x112
07 UP 5 (3328,3650) 216x113
07 UP 6 (3251,1989) 196x128
07 UP 7 (2837,2364) 214x115
07 UP 7 (3214,4859) 214x114
07 UP 8 (3214,2741) 216x115
07 UP 8 (3264,5691) 193x111
07 UP 9 (5504,5557) 58x73
07 UP 9 (4422,3308) 216x114
07 UP 10 (4212,3950) 259x115
07 UP 10 (3609,7353) 257x111
07 UP 11 (4664,3951) 251x114
07 UP 11 (4062,7353) 248x111
07 UP UP-1 (2849,4631) 411x181
07 UP UP-1 (3754,5070) 411x127
07 UP UP-3 (3830,6142) 419x128
07 UP UP-4 (4022,4637) 194x99
07 UP UP-7 (2894,5538) 417x128
07 UP UP-9 (2804,5069) 508x115
08 TS 1 (1586,5464) 76x120
08 TS 2 (2116,5464) 93x120
08 TS 3 (2655,5464) 96x122
08 TS 3 (6709,2109) 96x122
08 TS 3 (3892,2115) 92x101
08 TS 4 (2113,5030) 98x121
08 TS 5 (3088,5789) 95x122
08 TS 6 (3303,5897) 96x122
08 TS 7 (7143,2650) 91x123
08 TS 8 (6275,1784) 97x122
08 TS 9 (4331,2649) 95x123
08 TS 10 (3447,1784) 145x122
08 TS 11 (3339,2542) 137x120
08 TS 11 (4419,1892) 137x120
08 TS 12 (1285,1784) 144x120
08 TS 13 (1067,2216) 148x124
08 TS 14 (5554,5030) 146x121
08 TS 15 (5770,5464) 145x122
08 TS 16 (5122,4815) 145x122
08 TS 17 (5446,6329) 143x125
08 TS 18 (6527,5789) 146x122
08 TS 19 (6743,6222) 145x123
08 TS 20 (6841,4598) 155x122
08 TS SL3-5A (7278,6715) 175x95
10 1 1 (2888,6346) 136x202
10 1 1A (3003,5999) 271x201
10 1 1B (3371,5650) 263x201
10 1 2 (619,5827) 155x199
10 1 2A (1182,5711) 247x221
10 1 3 (1313,5131) 158x202
10 1 3-27 (4031,1057) 289x157
10 1 4 (2526,4954) 164x201
10 1 5 (3660,4957) 158x201
10 1 5-85 (974,1929) 294x158
10 1 6 (4616,4956) 158x202
10 1 7 (5314,4001) 152x202
10 1 8 (4442,3911) 159x203
10 1 9 (4442,3389) 158x202
10 1 10 (3622,3648) 245x204
10 1 11 (2317,3735) 234x201
10 1 12 (1013,3648) 244x201
10 1 13 (1796,2689) 246x206
10 1 14 (2342,2696) 196x171
10 1 15 (2335,3221) 204x173
10 1 16 (2839,2689) 245x206
10 1 17 (3622,2689) 242x209
10 1 18 (3448,1994) 246x204
10 1 19 (2413,2133) 245x205
10 1 20 (1456,1551) 202x187
10 1 21 (3178,1122) 243x202
10 1 AV-17 (2561,7408) 779x192
11 2 1 (3736,2463) 44x52
11 2 2 (3497,2326) 32x44
11 2 3 (3984,2326) 34x44
11 2 3-1 (5067,4616) 55x36
11 2 3-21 (2251,1710) 76x36
11 2 3-47 (7079,814) 79x39
11 2 3-51 (6643,1815) 76x36
11 2 3-118 (2191,3232) 100x38
11 2 4 (3983,2816) 35x43
11 2 5 (3496,2813) 34x46
11 2 6 (3741,3155) 33x45
11 2 6 (4326,2570) 33x45
11 2 6 (3155,2570) 33x45
11 2 6 (3741,1983) 33x45
11 2 7 (2912,2814) 31x46
11 2 8 (2911,3205) 34x44
11 2 9 (2619,2814) 32x46
11 2 10 (2170,2571) 55x44
11 2 11 (2997,2228) 54x43
11 2 12 (2609,2083) 55x44
11 2 13 (2162,1931) 62x47
11 2 14 (1878,2231) 56x42
11 2 15 (1829,1691) 56x45
11 2 16 (1780,1397) 56x45
11 2 17 (1185,1396) 71x51
11 2 18 (1191,1151) 59x47
11 2 19 (507,1397) 62x48
11 2 20 (1142,1692) 59x44
11 2 21 (1386,1740) 55x44
11 2 22 (1094,2083) 59x44
11 2 23 (1776,666) 60x44
11 2 24 (2166,1154) 60x44
11 2 25 (2069,1495) 60x45
11 2 26 (2654,1153) 60x45
11 2 27 (2654,1643) 58x45
11 2 28 (3044,1398) 60x44
11 2 29 (3093,1740) 60x45
11 2 30 (2868,1910) 60x44
11 2 30 (2856,1577) 60x44
11 2 31 (3287,1984) 56x44
11 2 32 (3190,1056) 60x44
11 2 33 (2946,812) 61x45
11 2 34 (3531,714) 61x44
11 2 35 (3921,909) 61x45
11 2 36 (4311,1104) 61x45
11 2 36A (4246,1300) 94x45
11 2 37 (4019,1887) 59x45
11 2 38 (4165,1716) 60x44
11 2 39 (4458,1374) 60x45
11 2 40 (4505,1789) 61x44
11 2 41 (4993,1204) 57x42
11 2 42 (4847,666) 61x44
11 2 43 (5383,812) 62x45
11 2 44 (6359,814) 62x43
11 2 45 (6359,1007) 62x45
11 2 46 (6749,811) 62x46
11 2 47 (6066,1617) 60x47
11 2 48 (6262,2131) 61x45
11 2 49 (5676,1887) 61x45
11 2 50 (6262,2521) 60x45
11 2 51 (6601,2718) 63x43
11 2 52 (6116,3082) 60x45
11 2 53 (6652,3155) 61x45
11 2 54 (7648,3261) 61x45
11 2 55 (6970,3899) 56x45
11 2 56 (6165,4230) 61x45
11 2 56 (5189,3643) 61x47
11 2 56 (6188,4243) 22x23
11 2 56 (5212,3658) 22x23
11 2 56A (5563,3351) 94x45
11 2 56B (4807,4206) 91x45
11 2 56C (4466,4230) 94x45
11 2 56D (5416,4034) 94x46
11 2 56D (5221,3912) 94x45
11 2 56D (5513,3839) 94x45
11 2 56D (4928,3693) 94x45
11 2 56D (5439,4048) 22x23
11 2 56D (5244,3925) 22x23
11 2 56D (5536,3852) 22x23
11 2 56D (4951,3708) 20x21
11 2 56E (6760,4376) 89x45
11 2 56E (6736,4181) 89x45
11 2 56E (6541,4034) 89x46
11 2 56E (6759,4196) 20x21
11 2 56E (6564,4048) 22x23
11 2 56F (5103,4499) 88x45
11 2 57 (5336,2789) 59x46
11 2 58 (4872,3401) 60x44
11 2 59 (4799,3204) 60x46
11 2 60 (5140,3009) 60x45
11 2 61 (4751,2863) 55x45
11 2 62 (4898,2570) 59x45
11 2 63 (4848,1837) 61x45
11 2 63A (5173,1592) 94x45
11 2 64 (4312,2960) 60x45
11 2 65 (4459,3254) 60x45
11 2 66 (4703,3033) 60x45
11 2 66 (4725,3046) 22x23
11 2 67 (4166,3351) 58x46
11 2 68 (4459,3546) 60x45
11 2 68 (4481,3562) 20x22
11 2 69 (4263,3888) 60x46
11 2 70 (3727,4035) 59x46
11 2 71 (3435,3352) 46x45
11 2 72 (3239,4035) 59x46
11 2 AV-10 (7672,3159) 110x36
11 2 AV-14 (4310,3112) 109x37
11 2 AV-14 (3751,2621) 109x37
11 2 AV-18 (1917,146) 110x36
11 2 SL2-1 (6575,1298) 231x33
11 2 SL11-1 (7207,2400) 118x36
11 2 SL15-1 (2714,378) 72x36
12 3 1 (3542,1457) 41x45
12 3 1-21 (3677,779) 63x52
12 3 2 (3548,2054) 23x31
12 3 2-15 (2314,1648) 61x30
12 3 2-48 (5724,1823) 63x41
12 3 2-55 (5768,906) 57x41
12 3 2-70 (2488,2472) 54x26
12 3 2A (3602,1955) 46x31
12 3 3 (3875,1987) 24x33
12 3 4 (4071,1462) 23x32
12 3 4-1 (301,1900) 46x34
12 3 4-88 (314,1078) 57x25
12 3 4-157 (243,3021) 70x31
12 3 4-159 (2061,5641) 70x27
12 3 5 (4465,1987) 24x33
12 3 5-1 (3567,2541) 43x26
12 3 5-2 (3255,2078) 39x25
12 3 5-44A (4237,3029) 68x26
12 3 5-64 (5166,2101) 57x32
12 3 5-76 (5129,3092) 65x27
12 3 5-99 (1451,870) 55x31
12 3 5-104 (914,1611) 67x27
12 3 5-141 (5207,6255) 82x51
12 3 5A (4058,2109) 54x49
12 3 6 (4071,2578) 25x32
12 3 6-49A (6323,1895) 75x27
12 3 7 (4465,2842) 22x32
12 3 8 (4022,2726) 25x31
12 3 8-34 (5051,300) 56x29
12 3 9 (3809,2973) 25x32
12 3 10 (3510,2908) 38x31
12 3 11 (2920,2612) 34x31
12 3 11A (3138,2644) 60x31
12 3 11B (3335,2644) 59x31
12 3 12 (3537,2379) 46x36
12 3 13 (3706,2218) 38x31
12 3 14 (3346,2315) 36x32
12 3 15 (3018,1922) 38x31
12 3 15A (3073,1791) 60x31
12 3 15B (3073,2054) 59x31
12 3 15C (3204,1922) 60x31
12 3 16 (2756,2119) 38x32
12 3 16 (2749,1713) 51x51
12 3 16A (2637,1589) 71x61
12 3 17 (2912,2047) 56x47
12 3 18 (3084,1332) 38x31
12 3 19 (3084,1101) 37x32
12 3 20 (2752,1430) 41x31
12 3 21 (2424,1332) 38x31
12 3 22 (2162,1069) 41x31
12 3 22A (1426,673) 73x42
12 3 23 (2665,894) 55x48
12 3 23A (2778,1149) 85x47
12 3 23B (2692,1003) 63x31
12 3 24 (2834,969) 40x32
12 3 25 (3244,773) 42x31
12 3 26 (3440,772) 42x32
12 3 27 (3552,654) 77x61
12 3 28 (3309,1020) 42x31
12 3 29 (3571,1036) 41x32
12 3 30 (3375,1332) 42x31
12 3 31 (3342,1660) 38x31
12 3 32 (3735,1660) 41x31
12 3 33 (3866,1758) 42x31
12 3 34 (3735,1331) 40x32
12 3 35 (3768,1134) 42x31
12 3 36A (3724,937) 64x32
12 3 36B (4210,529) 75x61
12 3 36C (3981,420) 102x76
12 3 36D (3821,531) 99x75
12 3 36D (4069,665) 81x53
12 3 36D (4075,329) 71x57
12 3 36E (3853,689) 75x71
12 3 37 (3953,914) 63x47
12 3 38 (4338,1577) 71x63
12 3 39 (4686,1660) 42x32
12 3 40 (4193,1133) 43x32
12 3 40A (4055,926) 65x49
12 3 40B (4450,1054) 65x55
12 3 40C (4440,1326) 75x53
12 3 41 (4324,796) 39x32
12 3 41A (4608,419) 65x32
12 3 42 (4718,937) 42x32
12 3 43 (4980,1520) 43x32
12 3 44 (5308,1331) 41x32
12 3 45 (5078,806) 43x32
12 3 46 (5406,937) 43x32
12 3 47 (5602,930) 55x49
12 3 48 (5734,1462) 43x32
12 3 49 (5963,1002) 43x33
12 3 50 (6161,1495) 41x31
12 3 50A (6221,1286) 79x57
12 3 50B (6227,1699) 77x55
12 3 51 (5374,1922) 38x31
12 3 52 (5210,2612) 41x31
12 3 52A (5494,2259) 64x31
12 3 53 (4915,2842) 42x31
12 3 54 (5237,2916) 40x32
12 3 55 (5043,2943) 59x57
12 3 56 (5079,3168) 42x32
12 3 57 (4948,3334) 40x32
12 3 57A (5170,3368) 56x28
12 3 58 (5473,3269) 42x31
12 3 59 (5768,3302) 42x32
12 3 60 (5931,3136) 42x32
12 3 61 (5799,2825) 39x32
12 3 62 (5849,2693) 42x32
12 3 63 (6062,2742) 43x32
12 3 64 (4685,3333) 41x32
12 3 65 (4685,3136) 43x32
12 3 65A (4578,2873) 75x47
12 3 65B (4722,2863) 34x60
12 3 66 (4554,2611) 43x32
12 3 66A (4477,2249) 65x32
12 3 67 (4259,3201) 42x34
12 3 68 (3505,3168) 43x32
12 3 69 (3275,3103) 43x33
12 3 70 (3047,3302) 42x32
12 3 70A (3101,3400) 64x32
12 3 70B (2938,3400) 63x32
12 3 70C (2806,3269) 64x32
12 3 70D (2970,3137) 65x32
12 3 71 (2031,1922) 40x32
12 3 72 (1968,1727) 57x41
12 3 72 (1972,2098) 51x51
12 3 73 (2282,1811) 31x22
12 3 74 (2266,2025) 42x39
12 3 75 (2340,2104) 46x29
12 3 76 (2391,2184) 42x33
12 3 77 (1950,2278) 51x51
12 3 78 (2195,2300) 42x32
12 3 79 (2063,2398) 42x33
12 3 80 (2259,2481) 42x31
12 3 81 (1669,2087) 39x31
12 3 82 (1866,1561) 42x31
12 3 83 (1997,1628) 43x31
12 3 84 (1669,1725) 41x32
12 3 85 (1669,1495) 43x31
12 3 86 (1735,2643) 43x32
12 3 87 (1566,2898) 53x51
12 3 88 (1636,2465) 43x31
12 3 89 (1374,2448) 43x32
12 3 89A (1368,2680) 53x26
12 3 90 (1112,1922) 43x32
12 3 90A (1478,1971) 65x32
12 3 90B (1757,1903) 106x51
12 3 91 (1374,2169) 39x32
12 3 92 (1177,2152) 42x32
12 3 93 (981,2169) 43x32
12 3 94 (1374,1659) 41x33
12 3 95 (1177,1693) 43x32
12 3 96 (981,1659) 43x33
12 3 97 (1014,2415) 41x32
12 3 98 (1177,2644) 43x32
12 3 99 (1276,2940) 42x32
12 3 100 (1173,3038) 56x31
12 3 101 (1010,3071) 52x31
12 3 102 (813,3071) 55x31
12 3 103 (813,2875) 56x31
12 3 104 (1010,2874) 54x32
12 3 105 (616,2973) 56x31
12 3 106 (610,2783) 66x55
12 3 106A (873,2773) 75x40
12 3 107 (780,2579) 54x32
12 3 108 (977,2644) 56x31
12 3 109 (780,2316) 56x32
12 3 110 (714,1922) 56x31
12 3 111 (776,1327) 59x40
12 3 112 (1190,1495) 55x31
12 3 113 (1206,1167) 56x31
12 3 114 (1310,926) 62x39
12 3 115 (452,1085) 56x31
12 3 116 (371,1629) 62x38
12 3 117 (665,1758) 54x31
12 3 118 (2091,2775) 56x31
12 3 119 (2091,3006) 55x32
12 3 120 (3304,3728) 55x31
12 3 121 (3337,3630) 52x31
12 3 122 (3475,3563) 54x31
12 3 123 (3632,3924) 56x31
12 3 123A (3881,3612) 81x40
12 3 123A (3887,3809) 79x33
12 3 123A (3875,4061) 95x61
12 3 124 (3206,3956) 54x32
12 3 125 (3009,3630) 56x31
12 3 126 (3042,3760) 56x32
12 3 127 (2739,3626) 65x42
12 3 127A (2573,3582) 97x62
12 3 127B (2647,3681) 91x53
12 3 127C (2759,3440) 93x43
12 3 128 (2714,3957) 56x31
12 3 129 (2944,3957) 56x32
12 3 130 (2812,4318) 55x31
12 3 131 (3042,4532) 52x31
12 3 132 (3106,4384) 56x32
12 3 133 (3173,4188) 56x31
12 3 134 (3075,4121) 54x32
12 3 135 (3402,4351) 56x31
12 3 136 (3402,4695) 56x32
12 3 137 (3697,4351) 54x32
12 3 137A (3552,4370) 102x55
12 3 137B (3940,4332) 60x31
12 3 138 (4025,3465) 56x31
12 3 139 (4091,3630) 56x32
12 3 140 (4058,3793) 55x32
12 3 141 (4058,4023) 52x32
12 3 142 (4058,4219) 55x32
12 3 143 (4255,3727) 56x32
12 3 144 (4288,3858) 54x32
12 3 145 (4320,4023) 56x32
12 3 146 (4386,4252) 56x32
12 3 147 (4419,3530) 54x33
12 3 148 (4878,3562) 56x32
12 3 149 (4615,3727) 55x33
12 3 150 (4615,3859) 55x31
12 3 151 (4746,3859) 52x31
12 3 152 (4615,3990) 55x32
12 3 153 (4648,4220) 56x31
12 3 154 (4648,4366) 54x32
12 3 155 (5041,4318) 56x31
12 3 156 (5041,4088) 56x32
12 3 156A (5097,4215) 88x40
12 3 157 (4943,4024) 54x32
12 3 158 (4976,3826) 56x31
12 3 159 (5238,3761) 56x32
12 3 160 (5238,3595) 55x33
12 3 161 (5402,3662) 52x32
12 3 161A (5391,3891) 78x32
12 3 162 (5369,4187) 55x32
12 3 163 (5304,4482) 56x32
12 3 163A (4342,4582) 78x31
12 3 163B (5080,4530) 81x33
12 3 163C (5285,4671) 110x45
12 3 163D (4637,5074) 79x31
12 3 163D (4243,5074) 79x31
12 3 163D (4210,4744) 79x32
12 3 163D (4604,4711) 78x32
12 3 164 (4681,5697) 54x32
12 3 164A (4703,5565) 78x32
12 3 164B (4883,5385) 76x32
12 3 164C (4392,5270) 76x32
12 3 164D (5079,5681) 78x32
12 3 164E (4491,5762) 74x32
12 3 165 (5402,4845) 55x31
12 3 166 (5047,5336) 77x59
12 3 167 (5238,5203) 54x35
12 3 168 (5356,5007) 75x53
12 3 168A (5457,5034) 99x52
12 3 169 (5468,5204) 55x33
12 3 170 (5320,5402) 56x32
12 3 171 (5173,5533) 54x32
12 3 172 (4845,6190) 55x31
12 3 172A (5223,6043) 99x37
12 3 172B (4965,6846) 77x32
12 3 172B (3649,6637) 90x55
12 3 172B (5289,6446) 81x41
12 3 172B (3518,6374) 82x52
12 3 172B (4834,6321) 77x31
12 3 172B (4506,6256) 77x32
12 3 172B (4180,6058) 76x32
12 3 173 (4025,5747) 56x32
12 3 174 (3943,6452) 54x33
12 3 175 (4288,6519) 56x32
12 3 176 (4288,6320) 56x33
12 3 177 (4288,6847) 54x32
12 3 178 (4845,6535) 56x32
12 3 179 (5304,6206) 56x32
12 3 180 (5484,5796) 56x31
12 3 180A (5390,5818) 47x51
12 3 180B (5570,5866) 45x42
12 3 180C (5510,5692) 67x61
12 3 181 (5708,5933) 69x51
12 3 182 (5763,6386) 55x31
12 3 183 (5845,6880) 56x31
12 3 184 (5665,6763) 51x32
12 3 185 (4714,7405) 56x31
12 3 186 (4338,7043) 54x31
12 3 187 (4222,7421) 54x32
12 3 188 (4074,7323) 56x31
12 3 189 (4025,7601) 55x33
12 3 190 (3665,7437) 56x32
12 3 191 (3993,6978) 52x32
12 3 192 (3310,7144) 42x26
12 3 193 (3344,6400) 68x58
12 3 194 (2780,6385) 54x33
12 3 195 (2321,6321) 56x32
12 3 196 (3075,6173) 56x33
12 3 197 (2976,6519) 54x32
12 3 198 (3312,5917) 68x42
12 3 199 (3763,5698) 55x32
12 3 200 (4070,5369) 59x31
12 3 201 (3628,5320) 56x31
12 3 202 (3464,5484) 59x31
12 3 203 (3333,5222) 60x31
12 3 204 (3103,5352) 58x32
12 3 205 (2808,4943) 59x31
12 3 206 (2776,4811) 60x32
12 3 207 (2808,5731) 58x32
12 3 208 (2890,5960) 60x31
12 3 209 (2743,6174) 60x32
12 3 210 (2579,6076) 60x31
12 3 211 (2349,5862) 56x31
12 3 212 (2349,5633) 59x31
12 3 212A (2164,5560) 103x51
12 3 213 (2251,5353) 60x31
12 3 214 (2612,5203) 58x34
12 3 215 (2317,5074) 60x31
12 3 216 (1956,5270) 60x32
12 3 217 (2052,4865) 81x57
12 3 218 (2251,4745) 60x31
12 3 219 (2513,4516) 59x32
12 3 220 (2186,4384) 59x32
12 3 220A (2338,4351) 82x31
12 3 221 (2743,4516) 56x31
12 3 222 (3136,4680) 59x31
12 3 223 (3300,4910) 60x31
12 3 224 (3546,4531) 58x32
12 3 225 (3612,4926) 60x31
12 3 226 (3907,4974) 60x32
12 3 227 (3939,4778) 58x31
12 3 228 (3661,4680) 60x31
12 3 229 (3792,4582) 59x32
12 3 230 (3593,5087) 64x41
12 3 231 (5654,4611) 69x38
12 3 AV-12 (6323,2134) 85x39
12 3 AV-19 (6293,1136) 83x37
12 3 EX-11 (4126,7685) 76x29
12 3 SL3-3 (3777,3342) 87x43
12 3 SL3-9 (3344,4141) 89x35
12 3 SL6-7 (1687,3135) 52x30
12 3 SL12-20 (1179,736) 173x34
12 3 UP-5 (3564,1419) 64x41
13 4 1 (2524,3342) 21x38
13 4 1 (2988,2892) 43x48
13 4 1A (2756,3032) 60x39
13 4 1A (2638,3086) 50x36
13 4 1A (3131,2977) 50x38
13 4 1A (2985,2977) 50x38
13 4 1A (2584,2977) 50x38
13 4 1A (2712,2903) 50x38
13 4 1A (3131,2830) 50x38
13 4 1A (2985,2830) 50x38
13 4 1B (2584,3233) 48x34
13 4 1B (2435,3295) 61x57
13 4 2 (2520,3744) 29x38
13 4 2A (2617,3926) 54x39
13 4 2B (2429,4065) 69x51
13 4 2C (2888,4084) 64x49
13 4 2D (2215,3925) 56x41
13 4 2E (2154,3769) 52x36
13 4 2F (1979,3920) 56x50
13 4 2G (2097,4062) 70x57
13 4 3 (2848,3699) 36x44
13 4 3-105D (4510,5883) 97x34
13 4 3-110 (3384,2928) 77x27
13 4 3-115 (3406,1924) 76x28
13 4 3-212A (4964,7088) 95x30
13 4 4 (2807,3555) 37x45
13 4 4 (2700,3293) 41x57
13 4 5 (2666,3524) 29x38
13 4 5-33 (3449,2067) 59x26
13 4 5-103 (3381,2480) 79x28
13 4 5-117 (1188,5901) 77x28
13 4 6 (3029,3583) 30x34
13 4 6-67 (4599,7381) 61x27
13 4 7 (3030,3342) 28x38
13 4 7-118 (961,2561) 76x27
13 4 8A (3382,3086) 55x38
13 4 8B (3565,3086) 55x38
13 4 8C (3382,3250) 56x38
13 4 8D (3542,3234) 71x60
13 4 9 (2768,3153) 44x48
13 4 10 (3042,3068) 46x38
13 4 11 (3861,2902) 44x37
13 4 12 (4119,3342) 46x38
13 4 13 (3790,3707) 46x38
13 4 14 (3644,4071) 45x39
13 4 14A (3814,4072) 71x38
13 4 15 (3462,3488) 46x38
13 4 16 (3246,3568) 46x53
13 4 17 (3243,3853) 45x38
13 4 18 (3042,4365) 47x38
13 4 19 (3260,6774) 81x40
13 4 19 (3200,4423) 57x60
13 4 19 (3200,5625) 64x67
13 4 20 (3421,4182) 50x38
13 4 21 (2217,4292) 46x38
13 4 22 (1852,4401) 50x38
13 4 23 (1706,3926) 50x39
13 4 23A (1660,4052) 75x44
13 4 24 (1852,4144) 49x39
13 4 25 (1410,4138) 56x51
13 4 26 (1560,4182) 50x38
13 4 27 (1268,4182) 49x38
13 4 28 (1195,4365) 51x38
13 4 29 (1195,4510) 50x38
13 4 30 (1414,4657) 50x38
13 4 31 (1633,4583) 46x39
13 4 32 (1633,4437) 50x38
13 4 33 (1414,4510) 50x38
13 4 34 (1416,4440) 44x30
13 4 35 (1403,4351) 67x58
13 4 36 (1335,3927) 48x36
13 4 37 (1195,3889) 49x38
13 4 38 (976,3889) 51x38
13 4 39 (976,3707) 50x38
13 4 40 (2106,3596) 52x40
13 4 41 (2328,3342) 45x34
13 4 42 (1961,3267) 51x40
13 4 43 (2180,3195) 51x39
13 4 44 (2375,2894) 63x54
13 4 45 (2216,2829) 51x39
13 4 46 (1997,2829) 51x39
